"K0_number","Level2","Sample7","Sample8","Sample9","Sample10","Sample11","Sample12","Sample25","Sample26","Sample27","Sample28","Sample29","Sample30","Sample31"
"K00002","Chlorophyte",24,18,26,29,30,29,23,25,22,0,0,0,0
"K00002","Ciliate",0,0,0,0,0,0,20,4,15,0,0,0,0
"K00002","Diatom",6,1,14,12,12,9,7,3,9,8,48,58,71
"K00002","Dinoflagellate",50,23,50,107,65,52,133,71,152,56,248,144,254
"K00002","Haptophyte",8,3,20,14,9,7,0,0,0,0,0,0,0
"K00011","Chlorophyte",1,0,8,1,1,2,58,31,27,0,0,0,0
"K00011","Ciliate",2,2,1,5,11,5,125,103,130,0,0,0,0
"K00011","Diatom",7,5,21,32,23,11,2,1,5,0,4,9,15
"K00011","Dinoflagellate",2,1,7,4,5,12,20,24,33,10,99,57,83
"K00011","Haptophyte",3,3,12,10,5,8,14,8,12,0,0,0,0
"K00012","Chlorophyte",871,488,1257,1584,1269,1211,229,148,224,159,623,483,448
"K00012","Ciliate",70,50,61,98,87,89,9,14,19,3,13,25,24
"K00012","Diatom",301,161,530,456,397,563,281,146,339,77,304,230,161
"K00012","Dinoflagellate",343,172,713,536,395,443,683,389,745,187,723,611,775
"K00012","Haptophyte",1556,763,1579,2532,2211,1505,326,218,303,107,315,280,195
"K00013","Chlorophyte",477,237,1024,908,639,774,0,0,0,0,0,0,0
"K00013","Ciliate",0,0,0,0,1,1,0,0,0,0,0,0,0
"K00013","Diatom",1,0,2,1,0,0,0,9,3,0,0,0,0
"K00013","Dinoflagellate",11,8,23,17,25,22,7,2,8,22,52,37,67
"K00013","Haptophyte",6,3,6,4,11,2,0,0,0,0,2,0,12
"K00020","Chlorophyte",0,0,0,0,0,0,11,0,3,0,0,0,0
"K00020","Ciliate",65,46,73,139,147,133,328,162,262,28,65,81,51
"K00020","Diatom",3,2,5,5,8,2,0,0,0,0,0,0,0
"K00020","Dinoflagellate",52,31,85,103,54,57,64,24,89,16,57,68,73
"K00020","Haptophyte",6,0,0,4,3,2,9,5,12,0,0,0,0
"K00021","Chlorophyte",4,1,0,6,2,5,0,0,0,0,0,0,0
"K00021","Ciliate",0,1,0,1,3,1,0,0,0,0,0,0,0
"K00021","Diatom",23,10,81,31,33,41,38,21,26,5,8,5,6
"K00021","Dinoflagellate",46,18,24,78,56,26,46,39,63,0,19,13,14
"K00021","Haptophyte",27,21,45,67,47,47,0,0,0,29,40,44,42
