gene,treatment1_mean,treatment2_mean,log2FoldChange,padj,gene_name,gene_def
aaa:Acav_1036,7.06927511802321,0,-5.67105942191128,NA,NA,aaa:Acav_1036  hypothetical protein
aab:A4R43_40310,0,0.515695958350558,1.5943578255903,NA,NA,aab:A4R43_40310  serine active site containing 1-like protein
aaf:AuanCp087,3.60938449392077,2.57847979175279,-0.487895298271316,NA,NA,aaf:AuanCp087  ycf46; ATPase AAA family
aaf:AURANDRAFT_10275,10.6834722121027,3.11298009797303,-1.78334353047909,NA,NA,aaf:AURANDRAFT_10275  hypothetical protein
aaf:AURANDRAFT_10293,24.070141053348,6.64433811270533,-1.86014783631429,NA,NA,aaf:AURANDRAFT_10293  hypothetical protein
aaf:AURANDRAFT_10344,10.395600999787,3.76383378721813,-1.46372763822556,NA,NA,aaf:AURANDRAFT_10344  hypothetical protein
aaf:AURANDRAFT_10394,29.2095132630504,41.8002002011166,0.513562324960008,0.841868823178732,NA,aaf:AURANDRAFT_10394  hypothetical protein
aaf:AURANDRAFT_10462,0,0,0,NA,NA,aaf:AURANDRAFT_10462  hypothetical protein
aaf:AURANDRAFT_10513,5.55844627246337,1.03139191670112,-2.42996646414333,NA,NA,aaf:AURANDRAFT_10513  hypothetical protein
aaf:AURANDRAFT_11634,0,0,0,NA,NA,aaf:AURANDRAFT_11634  hypothetical protein
aaf:AURANDRAFT_11858,0,0,0,NA,NA,aaf:AURANDRAFT_11858  hypothetical protein
aaf:AURANDRAFT_13380,1.80469224696039,0,-3.70089238660289,NA,NA,aaf:AURANDRAFT_13380  hypothetical protein
aaf:AURANDRAFT_15245,4.66230106813334,3.67591791956169,-0.354071294878199,NA,NA,aaf:AURANDRAFT_15245  hypothetical protein
aaf:AURANDRAFT_15555,0,0,0,NA,NA,aaf:AURANDRAFT_15555  hypothetical protein
aaf:AURANDRAFT_16026,2.40625632928051,0,-4.11468652079353,NA,NA,aaf:AURANDRAFT_16026  hypothetical protein
aaf:AURANDRAFT_18373,0,2.91484146464967,4.0981058153554,NA,NA,aaf:AURANDRAFT_18373  hypothetical protein
aaf:AURANDRAFT_19576,3.00782041160064,0,-4.43643633486648,NA,NA,aaf:AURANDRAFT_19576  hypothetical protein
aaf:AURANDRAFT_19633,2.9726738140731,1.97311669067539,-0.57980596155977,NA,NA,aaf:AURANDRAFT_19633  hypothetical protein
aaf:AURANDRAFT_19645,1.78711894819662,1.16348433891669,-0.623756159652889,NA,NA,aaf:AURANDRAFT_19645  hypothetical protein
aaf:AURANDRAFT_20955,1.05291657421257,0,-2.93270943221058,NA,NA,aaf:AURANDRAFT_20955  hypothetical protein
aaf:AURANDRAFT_21121,5.41407674088116,1.0974381278089,-2.3165108263946,NA,NA,aaf:AURANDRAFT_21121  hypothetical protein
aaf:AURANDRAFT_21412,5.18875935523962,8.1562143656709,0.650468058469837,NA,NA,aaf:AURANDRAFT_21412  hypothetical protein
aaf:AURANDRAFT_21520,3.00782041160064,0,-4.43643633471406,NA,NA,aaf:AURANDRAFT_21520  hypothetical protein
aaf:AURANDRAFT_21703,2.32254331483712,2.57847979175279,0.148755458261067,NA,NA,aaf:AURANDRAFT_21703  hypothetical protein
aaf:AURANDRAFT_22951,0,1.16348433891669,2.76284037184902,NA,NA,aaf:AURANDRAFT_22951  hypothetical protein
aaf:AURANDRAFT_23438,5.41407674088116,3.2923143834267,-0.726143965180029,NA,NA,aaf:AURANDRAFT_23438  hypothetical protein
aaf:AURANDRAFT_23512,0,0,0,NA,NA,aaf:AURANDRAFT_23512  hypothetical protein
